Maria of_Russia	Cyril Vladimirovitch of house of Romanov
Kira of_Russia	Cyril Vladimirovitch of house of Romanov
Vladimir Cyrilovitch of house of Romanov	Cyril Vladimirovitch of house of Romanov
Maria of_Russia #2	Vladimir Cyrilovitch of house of Romanov
Margaretha	Charles of_Sweden
Martha of_Sweden	Charles of_Sweden
Astrid of_Sweden	Charles of_Sweden
Carl Gustaf Oscar	Charles of_Sweden
Josephine Charlotte	Leopold_III
Baudouin_I of_the_Belgians	Leopold_III
Albert	Leopold_III
Margaretha of_Sweden	Gustav Adolf
Birgitta of_Sweden	Gustav Adolf
Desiree of_Sweden	Gustav Adolf
Christina Louise Helen	Gustav Adolf
Carl_XVI Gustav	Gustav Adolf
Christian_X	Frederick_VIII
Charles Haakon_VII	Frederick_VIII
Louise #9	Frederick_VIII
Harold	Frederick_VIII
Ingeborg of_Denmark	Frederick_VIII
Thyra	Frederick_VIII
Gustav	Frederick_VIII
Dagmar	Frederick_VIII
Frederick_IX	Christian_X
Knud	Christian_X
Victoria Ingrid Alice	Carl_XVI Gustav
Carl Philip	Carl_XVI Gustav
Madeleine Therese Amelie	Carl_XVI Gustav
Leopold_I of_Anhalt-Dessau	Johann Georg_II of_Anhalt-Dessau
Henriette Amalie	Johann Georg_II of_Anhalt-Dessau
John William of_Orange of house of Friso	Heinrich Kasimir of_Nassau-Dietz
William_IV of_Orange	John William of_Orange of house of Friso
Charlotte Amalia	John William of_Orange of house of Friso
Karl Friedrich of_Baden	Friedrich of_Baden-Durlach
Karl Ludwig of_Baden	Karl Friedrich of_Baden
Karl of_Baden	Karl Ludwig of_Baden
Caroline of_Baden	Karl Ludwig of_Baden
Marie #2	Karl of_Baden
Mary #3	William Alexander of_Hamilton
Louis_II of_Monaco	Albert_I of_Monaco
Charlotte	Louis_II of_Monaco
Rainier_III of_Monaco	Pierre of house of de_Polignac
Maximilian of house of Wittelsbach	Maximilian_I Joseph of house of Wittelsbach
Elizabeth (twin) of_Bavaria of house of Wittelsbach	Maximilian_I Joseph of house of Wittelsbach
Amelia (twin) of house of Wittelsbach	Maximilian_I Joseph of house of Wittelsbach
Maria (twin) of house of Wittelsbach	Maximilian_I Joseph of house of Wittelsbach
Sophie (twin) of house of Wittelsbach	Maximilian_I Joseph of house of Wittelsbach
Ludovica (Louise) of house of Wittelsbach	Maximilian_I Joseph of house of Wittelsbach
Maximiliana of house of Wittelsbach	Maximilian_I Joseph of house of Wittelsbach
Karl Ludwig	Franz Karl of_Austria
Karl_I of_Austria	Otto
Otto of_Austria	Karl_I of_Austria
Otto	Karl Ludwig
Elisabeth Amalia	Karl Ludwig
Franz_Joseph_II of_Liechtenstein	Aloys of_Liechtenstein
William_V of_Orange #2	William_IV of_Orange
Caroline	William_IV of_Orange
Frederica #2	William_V of_Orange #2
